id,fromUser,fromUserId,desired_username,LanguageCode,source,text,createdAt,req_username
130301,alexgodwin45,829169520,Alex Godwin,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,David stern confusing hurricane sandy and hurricane Katrina...classy,29-Oct-12,ale
130302,thomasreggi,5948982,Thomas Reggi,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,@HawaiianAir changed my flight status right when I get to the airport. Two more nights in paradise. #stranded #sandy,11-Oct-12,tho
130303,OneTimeShizz,770517824,ShizzyÃ­â°ÅÂ©Ã­Â¢Ã¤Ã³_ÅÂ¢,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Sandy better not fuck up my cable tonight.,24-Oct-12,shi
130309,holden_raulston,803891570,Holden Raulston,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Right now is a good time to donate blood because you will be helping victims of hurricane #sandy. Giving up a little can do a whole lot.,28-Oct-12,hol
130310,philmaqc,252451929,Phil Eident,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Glad to see David Stern doesn''t care about Sandy Victims and still grieves about hurricane Katrina victims.,31-Oct-12,phi
130311,CarloJViscusi,710808835,Carlo_j,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,"should of been strapped to a park bench in NYC when Sandy"" came through"" #",22-Oct-12,car
130312,Mexicutioner21,423161523,Julio Gonzalez ,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,I feel bad for the kids that are stuck in their homes &amp can''t leave tommrow &amp won''t be having Halloween because of hurricane sandy..,16-Oct-12,jul
130319,ROCK_A_EL,500470989,Rachael Jubic,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,@_CaraH not even SANDY!! The quest for #queso http//t.co/j9OhJ70Y,02-Oct-12,rac
130320,mccauley1123,43946963,Ryan McCauley,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Well stern didnt say anything wrong....we all have sympathy for Katrina victims..... #cmonman #sandy,29-Oct-12,rya
130321,bbrown2895,421360529,Brandi Brown,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Just donated $10 to Sandy victims and I feel quite great about it!,19-Oct-12,bra
130322,allanbauru,111741894,Allan Gonzalez,portugese,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Chorei de rir ) http//t.co/sWw2HuWQ,05-Oct-12,all
130323,nmsills,132559248,Meghann Elrhoul,english,&lta href=&quothttp//foursquare.com&quot&gtfoursquare&lt/a&gt,Sick of being inside because of #sandy... (@ Veslo) http//t.co/Y2ks3pna,07-Oct-12,meg
130327,FranceBidet,509511715,FranceBidet,french,&lta href=&quothttp//twitter.com/FranceBidet&quot&gtFrance Bidet&lt/a&gt,Les spectaculaires dÃ­â¬ÅÂ©gÃ­â¬ÅÂ¢ts aux USA aprÃ­â¬ÅÃs le passage de l''ouragan Sandy http//t.co/6SZGx4Py,01-Oct-12,fra
130328,EdrizioCruz,285403861,Eddie De La Cruz,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Nj governor Christie must really love the sound of his own voice #Sandy,22-Oct-12,edd
130329,SobreRafael,211358311,Rafael da Katy,portugese,&lta href=&quothttp//mobileways.de/gravity&quot&gtGravity!&lt/a&gt,GraÃ­â¬Å_as a grande performance nos states RT @BillboardBrasil Sandy chega ao topo do iTunes Brasil e disponibiliza teaser de novo EP,07-Oct-12,raf
130332,marisalove29,914965369,marisalove29,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Shout out @hurricane Sandy . Praying for everybody @new York city.,05-Oct-12,mar
130333,TimzToy08,96044106,Tim K,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Ã­Â¢Ã¤â°Ã¥ÃÃ±@toplessdrivers The only vehicle I have seen on the news driving in #Hurricane Sandy is a #jeep.Ã­Â¢Ã¤â°Ã¥ÅÃ¹\n\nHurricane Survival Kit.....JEEP!!!,05-Oct-12,tim
130341,elipongo,17218135,Elias Friedman,english,&lta href=&quothttp//instagr.am&quot&gtInstagram&lt/a&gt,The place is mostly well stocked except for a few things. So far I figure #Sandy induced a  @ Fairway Market http//t.co/lbKWPIvX,03-Oct-12,eli
130342,thebandmama,438080501,Mercedes Patterson,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,So where did all the rats in NY evacuate to? Just sayin!? #sandy,01-Oct-12,mer
130343,AquaFire406,850249207,Jen L.,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,"RT""@AnnapolisPatch Door-to-door service on City Dock? Boat pulls up to statue in #Annapolis after #Sandy. http//t.co/OhBWJ75g""",10-Oct-12,jen
130344,crystaalred,223400513,aoif.,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,sorry who even has time to think of names for these hurricanes? sandy irene catriona? #spoofers.,05-Oct-12,aoi
130345,dustinthomas24,391135368,Dustin Thomas,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,I think David Stern still thinks it''s 2005. #hurricanekatrina?? I think you meant #sandy,27-Oct-12,dus
